Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,TCS.NS,INFY.NS,HCLTECH.NS,ITC.NS,HINDUNILVR.NS,RELIANCE.NS,LT.NS,^NSEI
2023-05-18,787.5720214844,915.9115600586,533.4449462891,2887.6047363281,1118.5363769531,951.1493530273,352.3370666504,2461.9033203125,1106.0218505859,2106.2988281250,18129.9492187500
2023-05-19,788.4816894531,923.4594726562,534.3275146484,2908.3605957031,1139.0937500000,964.7573852539,352.4630126953,2474.9262695312,1109.6114501953,2108.0795898438,18203.4003906250
2023-05-22,785.6808471680,919.6370239258,536.1856079102,2976.8093261719,1160.5487060547,986.3363647461,356.5765380859,2471.7880859375,1115.5412597656,2133.6357421875,18314.4003906250
2023-05-23,783.8375854492,922.5885620117,540.3197021484,2975.3208007812,1167.0572509766,975.3267211914,360.2703247070,2462.6057128906,1115.3369140625,2115.3947753906,18348.0000000000
2023-05-24,773.5920410156,910.2506103516,541.3416748047,2981.0061035156,1165.8002929688,979.3784179688,363.9221496582,2450.0969238281,1108.8389892578,2103.3627929688,18285.4003906250
2023-05-25,770.6236572266,909.4763793945,539.9945068359,2972.1166992188,1170.9171142578,982.9454345703,370.3442993164,2433.5131835938,1108.7027587891,2122.1809082031,18321.1503906250
2023-05-26,773.5920410156,919.9757080078,544.4073486328,3004.0625000000,1182.6770019531,1003.3792114258,372.4010314941,2485.1394042969,1138.9428710938,2135.4165039062,18499.3496093750
2023-05-29,783.0237426758,917.5082397461,552.7686157227,2996.3471679688,1179.9390869141,991.9292602539,377.0183410645,2483.2187500000,1145.3497314453,2141.2880859375,18598.6503906250
2023-05-30,783.6221923828,919.2500000000,550.7247314453,2992.6015625000,1188.4222412109,1000.4287109375,386.1734313965,2489.0749511719,1145.0544433594,2128.0527343750,18633.8496093750
2023-05-31,771.2221679688,918.4758911133,549.1620483398,2968.5068359375,1183.4400634766,1008.5759277344,382.3966369629,2499.3813476562,1122.3118896484,2123.0954589844,18534.4003906250
2023-06-01,767.9425659180,905.8475952148,551.9086914062,2999.6413574219,1184.5172119141,1005.7574462891,377.4182128906,2527.8181152344,1119.2901611328,2125.1650390625,18487.7500000000
2023-06-02,769.1394653320,907.8313598633,556.1231079102,2983.0361328125,1181.7882080078,1001.4857177734,380.5941162109,2545.4328613281,1115.6322021484,2150.9140625000,18534.0996093750
2023-06-05,768.1340332031,916.1534423828,556.1231079102,2967.9653320312,1186.7916259766,1002.5866699219,378.2336730957,2525.8505859375,1125.6516113281,2183.4006347656,18593.8496093750
2023-06-06,765.7402954102,911.6536865234,554.3709716797,2916.8891601562,1163.5927734375,994.0432739258,380.0791320801,2521.4936523438,1126.6059570312,2192.6894531250,18599.0000000000
2023-06-07,769.7139892578,909.8151245117,558.0172119141,2955.3317871094,1172.6446533203,994.4393920898,381.0662231445,2544.9641113281,1135.1484375000,2228.8342285156,18726.4003906250
2023-06-08,770.1926879883,907.5894775391,557.3543090820,2920.6337890625,1167.0498046875,992.4137573242,380.1649475098,2510.9526367188,1135.8300781250,2252.7060546875,18634.5507812500
